8:30 to 9:45,MONDAY / WEDNESDAY,Introduction to Statistics,Mr. Imran Shaheen
8:30 to 9:45,MONDAY / WEDNESDAY,Introduction to Statistics,Dr. Jawaid Iqbal
8:30 to 9:45,MONDAY / WEDNESDAY,Introduction to Economics,Ms. Shafia Imtiaz
8:30 to 9:45,MONDAY / WEDNESDAY,Introduction to Economics,Mr. Zia ur Rehman
8:30 to 9:45,MONDAY / WEDNESDAY,Principle of Accounting,Zahra Nakhuda
8:30 to 9:45,MONDAY / WEDNESDAY,Introduction to Economics,Mohsin Chandna
8:30 to 9:45,MONDAY / WEDNESDAY,None,None
8:30 to 9:45,MONDAY / WEDNESDAY,Principles of Marketing,S.M. Saeed
8:30 to 9:45,MONDAY / WEDNESDAY,Business Law,Morial Shah
8:30 to 9:45,MONDAY / WEDNESDAY,Introduction to Business Finance,Tahira Marium Jaffery
8:30 to 9:45,MONDAY / WEDNESDAY,Financial Accounting,Aman Ullah Syed
8:30 to 9:45,MONDAY / WEDNESDAY,REGULATIONS & FINANCIAL MARKETS,Dr. Saqib Shareef
8:30 to 9:45,MONDAY / WEDNESDAY,FINANCIAL MODELING,Syed Irfan Ahmed
8:30 to 9:45,MONDAY / WEDNESDAY,Financial Reporting                         (Actg Elective),Haroon Tabraze
8:30 to 9:45,MONDAY / WEDNESDAY,Derivatives,Dr. Sana Tauseef
8:30 to 9:45,MONDAY / WEDNESDAY,None,None
8:30 to 9:45,MONDAY / WEDNESDAY,Introduction to Computer Applications,Mahwish Amjad
8:30 to 9:45,MONDAY / WEDNESDAY,Socioeconomic Philosophy of Islam,Dr. Amana Raquib
8:30 to 9:45,MONDAY / WEDNESDAY,Organizational Behavior,Leon Menezes
8:30 to 9:45,MONDAY / WEDNESDAY,Financial Accounting,Ahmed Saeed Kirmani
8:30 to 9:45,MONDAY / WEDNESDAY,Principles of Marketing,Rimsha Bilal
8:30 to 9:45,MONDAY / WEDNESDAY,Development Economics,Dr. Khadija Malik Bari
8:30 to 9:45,MONDAY / WEDNESDAY,English Grammar & Composition,Dr. Nadia Chishty Mujahid
8:30 to 9:45,MONDAY / WEDNESDAY,Introduction to Programming,Dr. Imran Rauf
8:30 to 9:45,MONDAY / WEDNESDAY,Calculus I with Plane Geometry,Mr. Rajid Ali
8:30 to 9:45,MONDAY / WEDNESDAY,Introduction to Computing,Dr. Zaheeruddin Asif
8:30 to 9:45,MONDAY / WEDNESDAY,None,None
8:30 to 9:45,MONDAY / WEDNESDAY,Digital Logic Design,Dr. S M Faisal Iradat
8:30 to 9:45,MONDAY / WEDNESDAY,Digital Logic Design,Dr. Asma Sanam
8:30 to 9:45,MONDAY / WEDNESDAY,Data Structures,Dr. Quratulain Rajput
8:30 to 9:45,MONDAY / WEDNESDAY,Database Systems,Dr. Imran Khan
8:30 to 9:45,MONDAY / WEDNESDAY,Business Communication,Usman Nazir
8:30 to 9:45,MONDAY / WEDNESDAY,Systems Programming,Masood Alam Abassi
8:30 to 9:45,MONDAY / WEDNESDAY,Pakistan History,Sajjad Ahmed
8:30 to 9:45,MONDAY / WEDNESDAY,Introduction to Academic Writing,Maria Hasan Siddiqui
8:30 to 9:45,MONDAY / WEDNESDAY,English Grammar & Composition,Sarah Usman Ghani
8:30 to 9:45,MONDAY / WEDNESDAY,Intermediate Microeconomics,Dr. Abbas Ali Gilani
8:30 to 9:45,MONDAY / WEDNESDAY,Essential Software,Dr. Nasir Touheed
8:30 to 9:45,MONDAY / WEDNESDAY,Sustainable Cities and Communities,Farhan Anwar
10:00 to 11:15,MONDAY / WEDNESDAY,Introduction to Statistics,Ms. Hira Ashraf
10:00 to 11:15,MONDAY / WEDNESDAY,Principle of Accounting,Zahra Nakhuda
10:00 to 11:15,MONDAY / WEDNESDAY,Principle of Accounting,Zahid Nagda
10:00 to 11:15,MONDAY / WEDNESDAY,Introduction to Business Finance,Tahira Marium Jaffery
10:00 to 11:15,MONDAY / WEDNESDAY,Financial Accounting,Aman Ullah Syed
10:00 to 11:15,MONDAY / WEDNESDAY,REGULATIONS & FINANCIAL MARKETS,Dr. Saqib Shareef
10:00 to 11:15,MONDAY / WEDNESDAY,Financial Risk Management,Syed Irfan Ahmed
10:00 to 11:15,MONDAY / WEDNESDAY,Derivatives,Dr. Sana Tauseef
10:00 to 11:15,MONDAY / WEDNESDAY,Foundations of Human Behavior,Ayesha Khan
10:00 to 11:15,MONDAY / WEDNESDAY,Principles of Microeconomics,Ms. Sabah Ali
10:00 to 11:15,MONDAY / WEDNESDAY,Socioeconomic Philosophy of Islam,Dr. Amana Raquib
10:00 to 11:15,MONDAY / WEDNESDAY,Principles of Marketing,Rimsha Bilal
10:00 to 11:15,MONDAY / WEDNESDAY,Organizational Behavior,Amer Iqbal Awan
